customer_id,customer_type,country,occupation_industry,pep_flag,sanctions_hit,adverse_media_flag,source_of_wealth_verified,ubo_complete,id_verified,address_verified,tax_verified,kyc_complete_pct,risk_score,risk_level,edd_required,customer_status,last_review_date,next_review_date,primary_risk_driver
CUST10000,Individual,United Arab Emirates,Finance,0,0,0,1,1,0,1,1,80.0,40,Moderate,0,Approved,2026-04-03,2027-04-03,High-Risk Geography
CUST10001,Business,United States,FinTech,0,0,0,0,1,1,1,0,60.0,23,Low,0,Pending Documents,2026-06-19,2028-06-18,Source of Wealth
CUST10002,Business,United States,Logistics,0,0,0,1,1,1,0,1,80.0,17,Low,0,Approved,2026-07-06,2028-07-05,KYC Documentation
CUST10003,Individual,United States,Finance,0,0,0,0,1,0,1,1,60.0,33,Moderate,0,Pending Documents,2025-10-01,2026-10-01,Source of Wealth
CUST10004,Individual,United Kingdom,Construction,0,0,0,1,1,1,1,1,100.0,8,Low,0,Approved,2025-12-23,2027-12-23,Standard Risk
CUST10005,Individual,United Arab Emirates,Finance,0,0,1,1,1,1,0,1,80.0,54,Moderate,1,Approved,2025-12-21,2026-12-21,Adverse Media
CUST10006,Individual,Mexico,Technology,0,0,0,1,1,1,1,1,100.0,17,Low,0,Periodic Review,2025-08-12,2027-08-12,Standard Risk
CUST10007,Business,United States,Manufacturing,0,0,0,1,1,1,1,1,100.0,14,Low,0,Approved,2025-06-02,2027-06-02,Standard Risk
CUST10008,Individual,United States,Construction,0,0,0,1,1,1,1,1,100.0,10,Low,0,Periodic Review,2025-12-16,2027-12-16,Standard Risk
CUST10009,Individual,Iran,Consulting,1,0,0,1,1,1,1,1,100.0,49,Moderate,1,Approved,2025-05-24,2026-05-24,PEP
CUST10010,Individual,United States,Education,0,0,0,1,1,1,1,1,100.0,13,Low,0,Approved,2026-07-29,2028-07-28,Standard Risk
CUST10011,Business,United States,Manufacturing,0,0,0,1,1,1,1,1,100.0,14,Low,0,Approved,2025-04-24,2027-04-24,Standard Risk
CUST10012,Business,United States,Real Estate,0,0,1,1,1,1,1,1,100.0,29,Low,1,Approved,2025-10-10,2027-10-10,Adverse Media
CUST10013,Individual,China,Consulting,0,0,0,1,1,1,1,1,100.0,17,Low,0,Approved,2026-01-06,2028-01-06,Standard Risk
CUST10014,Individual,Nigeria,Retail,0,0,0,0,1,1,1,1,80.0,42,Moderate,0,Periodic Review,2024-10-10,2025-10-10,High-Risk Geography
CUST10015,Individual,United States,Consulting,0,0,0,1,1,1,1,1,100.0,16,Low,0,Approved,2024-12-24,2026-12-24,Standard Risk
CUST10016,Individual,United States,Retail,0,0,0,1,1,1,1,0,80.0,21,Low,0,Periodic Review,2025-03-09,2027-03-09,KYC Documentation
CUST10017,Individual,Mexico,Construction,0,0,0,1,1,1,1,1,100.0,17,Low,0,Approved,2025-05-23,2027-05-23,Standard Risk
CUST10018,Individual,Mexico,Technology,0,0,0,1,1,1,1,1,100.0,13,Low,0,Approved,2025-11-01,2027-11-01,Standard Risk
CUST10019,Individual,United States,Hospitality,0,0,0,1,1,1,1,0,80.0,14,Low,0,Approved,2026-05-07,2028-05-06,KYC Documentation
CUST10020,Individual,Russia,Retail,0,0,0,1,1,1,1,1,100.0,25,Low,0,Periodic Review,2026-02-06,2028-02-06,High-Risk Geography
CUST10021,Individual,United States,Technology,0,0,0,1,1,1,0,1,80.0,17,Low,0,Approved,2024-10-04,2026-10-04,KYC Documentation
CUST10022,Individual,United States,Education,0,0,0,0,1,1,1,1,80.0,26,Low,0,Periodic Review,2025-05-08,2027-05-08,Source of Wealth
CUST10023,Individual,Turkey,Healthcare,0,0,0,1,1,1,1,1,100.0,26,Low,0,Approved,2024-11-20,2026-11-20,High-Risk Geography
CUST10024,Individual,United States,Education,0,0,0,1,1,1,1,1,100.0,13,Low,0,Periodic Review,2025-07-25,2027-07-25,Standard Risk
CUST10025,Business,Mexico,Logistics,0,0,0,1,1,1,1,0,80.0,14,Low,0,Approved,2024-10-25,2026-10-25,KYC Documentation
CUST10026,Individual,United States,Consulting,0,0,0,1,1,1,0,1,80.0,14,Low,0,Approved,2025-01-22,2027-01-22,KYC Documentation
CUST10027,Individual,United States,Consulting,0,0,0,0,1,1,1,1,80.0,22,Low,0,Approved,2026-01-11,2028-01-11,Source of Wealth
CUST10028,Individual,Iran,Finance,0,0,0,1,1,0,1,1,80.0,41,Moderate,0,Approved,2025-11-21,2026-11-21,High-Risk Geography
CUST10029,Individual,United States,Finance,0,0,0,1,1,1,1,1,100.0,17,Low,0,Approved,2025-05-09,2027-05-09,Standard Risk
CUST10030,Individual,Brazil,Finance,0,0,0,0,1,1,1,1,80.0,27,Low,0,Periodic Review,2026-08-23,2028-08-22,Source of Wealth
CUST10031,Individual,United States,Education,0,0,0,1,1,1,1,1,100.0,9,Low,0,Periodic Review,2024-09-16,2026-09-16,Standard Risk
CUST10032,Individual,United States,Retail,0,0,0,0,1,1,1,1,80.0,27,Low,0,Approved,2025-08-18,2027-08-18,Source of Wealth
CUST10033,Business,United States,Retail,0,0,0,1,1,1,1,1,100.0,16,Low,0,Approved,2025-01-06,2027-01-06,Standard Risk
CUST10034,Business,Mexico,Consulting,0,0,0,1,1,1,1,1,100.0,15,Low,0,Approved,2025-08-16,2027-08-16,Standard Risk
CUST10035,Business,United States,Logistics,0,0,0,1,1,1,1,1,100.0,10,Low,0,Approved,2024-11-08,2026-11-08,Standard Risk
CUST10036,Individual,India,Construction,0,0,0,1,1,1,1,1,100.0,8,Low,0,Approved,2025-09-06,2027-09-06,Standard Risk
CUST10037,Individual,United States,Finance,0,0,0,1,1,0,1,1,80.0,21,Low,0,Approved,2026-03-09,2028-03-08,KYC Documentation
